iter	Passed	Remaining
439	1331	1694
440	1335	1692
441	1337	1689
442	1340	1685
443	1344	1683
444	1347	1680
445	1350	1677
446	1353	1674
447	1356	1671
448	1359	1668
449	1363	1665
450	1365	1662
451	1368	1659
452	1371	1656
453	1374	1653
454	1378	1650
455	1381	1648
456	1384	1645
457	1387	1642
458	1390	1638
459	1393	1635
460	1395	1632
461	1399	1629
462	1402	1626
463	1404	1623
464	1408	1620
465	1411	1617
466	1414	1614
467	1417	1611
468	1420	1607
469	1423	1605
470	1427	1602
471	1430	1599
472	1433	1597
473	1437	1595
474	1440	1592
475	1443	1589
476	1446	1585
477	1449	1582
478	1451	1579
479	1454	1576
480	1458	1573
481	1461	1570
482	1463	1566
483	1466	1563
484	1470	1561
485	1473	1558
486	1476	1555
487	1479	1552
488	1482	1548
489	1484	1545
490	1487	1542
491	1490	1538
492	1493	1535
493	1495	1532
494	1498	1529
495	1502	1526
496	1504	1523
497	1507	1519
498	1510	1516
499	1513	1513
500	1516	1510
501	1520	1508
502	1523	1505
503	1526	1502
504	1529	1499
505	1533	1496
506	1536	1494
507	1539	1491
508	1542	1488
509	1545	1484
510	1549	1482
511	1552	1479
512	1555	1476
513	1558	1473
514	1560	1469
515	1563	1466
516	1566	1463
517	1569	1460
518	1572	1457
519	1575	1453
520	1578	1451
521	1581	1448
522	1584	1445
523	1588	1442
524	1591	1439
525	1593	1436
526	1596	1433
527	1599	1429
528	1603	1427
529	1606	1424
530	1608	1421
531	1611	1417
532	1614	1414
533	1617	1411
534	1620	1408
535	1623	1405
536	1626	1402
537	1630	1399
538	1632	1396
539	1635	1393
540	1638	1390
541	1641	1387
542	1644	1384
543	1648	1381
544	1651	1378
545	1655	1376
546	1657	1372
547	1660	1369
548	1663	1366
549	1666	1363
550	1669	1360
551	1672	1357
552	1674	1353
553	1677	1350
554	1680	1347
555	1683	1344
556	1686	1341
557	1689	1337
558	1691	1334
559	1695	1331
560	1698	1329
561	1701	1326
562	1704	1323
563	1707	1319
564	1710	1316
565	1712	1313
566	1715	1310
567	1718	1307
568	1721	1304
569	1724	1301
570	1727	1297
571	1730	1294
572	1733	1291
573	1735	1288
574	1739	1285
575	1741	1282
576	1745	1279
577	1747	1276
578	1750	1272
579	1754	1270
580	1756	1266
581	1759	1263
582	1762	1260
583	1765	1257
584	1767	1254
585	1771	1251
586	1774	1248
587	1777	1245
588	1781	1242
589	1783	1239
590	1787	1236
591	1790	1233
592	1793	1230
593	1795	1227
594	1799	1224
595	1802	1221
596	1804	1218
597	1807	1215
598	1811	1212
599	1813	1209
600	1817	1206
601	1820	1203
602	1823	1200
603	1825	1197
604	1828	1193
605	1831	1190
606	1834	1188
607	1837	1184
608	1841	1182
609	1844	1179
610	1847	1176
611	1850	1172
612	1852	1169
613	1856	1166
614	1859	1163
615	1861	1160
616	1864	1157
617	1867	1154
618	1870	1151
619	1873	1148
620	1876	1145
621	1880	1142
622	1883	1139
623	1885	1136
624	1888	1133
625	1891	1130
626	1894	1126
627	1897	1124
628	1900	1120
629	1903	1117
630	1906	1114
631	1909	1111
632	1912	1108
633	1914	1105
634	1917	1102
635	1921	1099
636	1923	1096
637	1927	1093
638	1930	1090
639	1933	1087
640	1936	1084
641	1940	1081
642	1942	1078
643	1946	1075
644	1949	1072
645	1952	1069
646	1955	1066
647	1958	1063
648	1960	1060
649	1963	1057
650	1966	1054
651	1969	1051
652	1972	1048
653	1975	1045
654	1978	1041
655	1981	1039
656	1984	1035
657	1987	1033
658	1991	1030
659	1993	1027
660	1996	1024
661	1999	1020
662	2002	1017
663	2005	1014
664	2008	1011
665	2011	1008
666	2013	1005
667	2017	1002
668	2019	999
669	2023	996
670	2026	993
671	2029	990
672	2033	988
673	2036	984
674	2039	982
675	2042	979
676	2046	976
677	2048	973
678	2052	970
679	2054	967
680	2058	964
681	2061	961
682	2064	958
683	2067	955
684	2070	952
685	2073	949
686	2076	945
687	2078	942
688	2081	939
689	2084	936
690	2087	933
691	2090	930
692	2093	927
693	2097	924
694	2099	921
695	2103	918
696	2106	915
697	2108	912
698	2111	909
699	2114	906
700	2117	902
701	2120	900
702	2123	897
703	2126	894
704	2129	891
705	2132	887
706	2135	884
707	2137	881
708	2141	878
709	2144	875
710	2147	872
711	2150	869
712	2152	866
713	2155	863
714	2159	860
715	2162	857
716	2164	854
717	2168	851
718	2170	848
719	2173	845
720	2176	842
721	2179	839
722	2182	836
723	2185	832
724	2188	829
725	2190	826
726	2194	823
727	2197	821
728	2200	818
729	2203	815
730	2206	812
731	2209	808
732	2212	805
733	2215	802
734	2217	799
735	2220	796
736	2224	793
737	2226	790
738	2230	787
739	2233	784
740	2236	781
741	2239	778
742	2242	775
743	2245	772
744	2248	769
745	2251	766
746	2254	763
747	2257	760
748	2259	757
749	2263	754
750	2266	751
751	2270	748
752	2273	745
753	2276	742
754	2279	739
755	2283	737
756	2287	734
757	2289	731
758	2293	728
759	2296	725
760	2299	722
761	2302	719
762	2305	715
763	2307	712
764	2311	709
765	2314	706
766	2316	703
767	2319	700
768	2322	697
769	2325	694
770	2329	691
771	2331	688
772	2334	685
773	2337	682
774	2340	679
775	2343	676
776	2346	673
777	2349	670
778	2352	667
779	2355	664
780	2358	661
781	2362	658
782	2364	655
783	2368	652
784	2371	649
785	2374	646
786	2377	643
787	2380	640
788	2384	637
789	2386	634
790	2390	631
791	2393	628
792	2395	625
793	2398	622
794	2401	619
795	2404	616
796	2408	613
797	2410	610
798	2414	607
799	2416	604
800	2419	601
801	2422	598
802	2426	595
803	2429	592
804	2433	589
805	2436	586
806	2439	583
807	2442	580
808	2445	577
809	2448	574
810	2451	571
811	2454	568
812	2457	565
813	2460	562
814	2463	559
815	2466	556
816	2469	553
817	2472	550
818	2475	547
819	2477	543
820	2480	540
821	2483	537
822	2486	534
823	2490	531
824	2493	528
825	2496	525
826	2499	522
827	2502	519
828	2506	516
829	2508	513
830	2511	510
831	2514	507
832	2517	504
833	2520	501
834	2523	498
835	2526	495
836	2528	492
837	2531	489
838	2534	486
839	2537	483
840	2540	480
841	2544	477
842	2546	474
843	2549	471
844	2553	468
845	2556	465
846	2559	462
847	2562	459
848	2565	456
849	2568	453
850	2570	450
851	2573	447
852	2576	444
853	2579	440
854	2582	437
855	2584	434
856	2588	431
857	2591	428
858	2594	425
859	2597	422
860	2601	419
861	2604	416
862	2607	413
863	2610	410
864	2613	407
865	2616	404
866	2619	401
867	2622	398
868	2624	395
869	2627	392
870	2630	389
871	2633	386
872	2636	383
873	2639	380
874	2642	377
875	2645	374
876	2648	371
877	2651	368
878	2654	365
879	2656	362
880	2659	359
881	2662	356
882	2665	353
883	2668	350
884	2670	347
885	2674	344
886	2676	341
887	2679	337
888	2682	334
889	2685	331
890	2688	328
891	2691	325
892	2695	322
893	2697	319
894	2700	316
895	2704	313
896	2706	310
897	2709	307
898	2712	304
899	2715	301
900	2718	298
901	2721	295
902	2724	292
903	2726	289
904	2729	286
905	2732	283
906	2734	280
907	2737	277
908	2740	274
909	2743	271
910	2746	268
911	2749	265
912	2753	262
913	2756	259
914	2758	256
915	2761	253
916	2764	250
917	2768	247
918	2771	244
919	2774	241
920	2777	238
921	2780	235
922	2783	232
923	2786	229
924	2789	226
925	2792	223
926	2795	220
927	2798	217
928	2802	214
929	2805	211
930	2808	208
931	2812	205
932	2815	202
933	2818	199
934	2820	196
935	2823	193
936	2826	190
937	2829	186
938	2831	183
939	2834	180
940	2838	177
941	2841	174
942	2844	171
943	2847	168
944	2850	165
945	2853	162
946	2857	159
947	2860	156
948	2863	153
949	2866	150
950	2868	147
951	2872	144
952	2874	141
953	2877	138
954	2880	135
955	2883	132
956	2886	129
957	2888	126
958	2892	123
959	2895	120
960	2898	117
961	2901	114
962	2904	111
963	2906	108
964	2910	105
965	2913	102
966	2917	99
967	2920	96
968	2923	93
969	2926	90
970	2929	87
971	2933	84
972	2936	81
973	2939	78
974	2942	75
975	2945	72
976	2948	69
977	2951	66
978	2954	63
979	2957	60
980	2960	57
981	2963	54
982	2966	51
983	2969	48
984	2972	45
985	2975	42
986	2979	39
987	2982	36
988	2985	33
989	2988	30
990	2991	27
991	2994	24
992	2997	21
993	3000	18
994	3003	15
995	3006	12
996	3009	9
997	3012	6
998	3014	3
999	3017	0
